iter	MultiClass	Accuracy
178	0.2637524384	0.9109117129
179	0.263096547	0.9112588795
180	0.2627364051	0.9110986487
181	0.2617316941	0.9121935587
182	0.2610617357	0.9125140202
183	0.2602352018	0.9129413021
184	0.2589223635	0.9131816482
185	0.2576048064	0.9137691609
186	0.256636144	0.9138759814
187	0.2551766807	0.9153714682
188	0.2537111745	0.9165464936
189	0.252449123	0.9171607114
190	0.2518673265	0.9177749292
191	0.2512205988	0.9182823266
192	0.2504358311	0.9187897239
193	0.2494655394	0.9192704161
194	0.2491967198	0.9194306468
195	0.2488791687	0.9194306468
196	0.248193018	0.9202585056
197	0.2471544957	0.9203920312
198	0.2469882006	0.9203920312
199	0.2453321545	0.9211664797
200	0.2449459099	0.9210596592
201	0.2446300909	0.9213267105
202	0.2441101415	0.9214602361
203	0.2431890889	0.9221812744
204	0.2427388504	0.9221545692
205	0.2419164601	0.9229557229
206	0.2412922033	0.9230892485
207	0.2409353685	0.922982428
208	0.2398150774	0.9236500561
209	0.2393041122	0.9239972227
210	0.2384835516	0.9240506329
211	0.2378230826	0.92450462
212	0.2371482599	0.9245847354
213	0.2362823186	0.9257063505
214	0.2354435389	0.9259734017
215	0.2352380547	0.9258665812
216	0.2347692283	0.9262938632
217	0.234066536	0.9269881963
218	0.2333453426	0.9274154783
219	0.2321237018	0.9279228756
220	0.2313005131	0.9282967473
221	0.2310341567	0.9284035678
222	0.230061519	0.9292581317
223	0.2290234925	0.9298990546
224	0.2281784108	0.9302729263
225	0.2275561241	0.9305399776
226	0.2266871362	0.9311541954
227	0.2263466187	0.930860439
228	0.2252953093	0.9314479517
229	0.2250901072	0.9315280671
230	0.2244799035	0.9320354644
231	0.2233691009	0.9329701437
232	0.2231355531	0.9332104898
233	0.2223848712	0.9332371949
234	0.2222096423	0.9332371949
235	0.2218613069	0.9334241307
236	0.2210897716	0.9339849383
237	0.2208064922	0.934145169
238	0.2199777584	0.9342519895
239	0.2194104235	0.9350264381
240	0.2186779655	0.9352934893
241	0.2171492297	0.9362548737
242	0.2162782589	0.9366020403
243	0.2158976364	0.9367889761
244	0.2152387458	0.9366821556
245	0.2147711093	0.9370026171
246	0.2143128161	0.9372162581
247	0.2135727321	0.9377770656
248	0.2132045103	0.9379105913
249	0.2127802109	0.9377503605
250	0.2125901083	0.9379907066
251	0.2121702185	0.9380441169
252	0.211503536	0.9383912834
253	0.2112419003	0.9383912834
254	0.2108969765	0.9388185654
255	0.2103501469	0.9393259627
256	0.2101471637	0.9395930139
257	0.2100325266	0.9396464242
258	0.2098971352	0.9397799498
259	0.2092303693	0.9402339369
260	0.2089775638	0.9403941676
261	0.208190072	0.9406612188
262	0.2072246535	0.9413822571
263	0.2065347273	0.9416760135
264	0.2058285226	0.9419697698
265	0.2045607078	0.9423169364
266	0.2042210303	0.9425305774
267	0.2037735054	0.9425038722
268	0.2033843222	0.9428510388
269	0.203128583	0.9429044491
270	0.2024764833	0.9437857181
271	0.20204548	0.9439192437
272	0.2012068252	0.9442130001
273	0.2008516195	0.944426641
274	0.200156165	0.9445868718
275	0.1999773862	0.9446669871
276	0.1989080048	0.9452544998
277	0.1981301664	0.945521551
278	0.1979977255	0.9453880254
279	0.1972940812	0.9459755381
280	0.1967142425	0.9462158842
281	0.195439031	0.9470170379
282	0.1950325144	0.9472306788
283	0.1947567586	0.9476312557
284	0.1946783728	0.9474176147
285	0.1940044523	0.9482988837
286	0.1933877926	0.9482721786
287	0.1931905715	0.9479784223
288	0.1922888688	0.9485659349
289	0.1918094575	0.9493670886
290	0.1910466892	0.9497943706
291	0.1905240833	0.9499546013
292	0.1902272971	0.9501415371
293	0.1898921708	0.9499546013
294	0.1895319177	0.9499813064
295	0.1889829394	0.9505955242
296	0.1887674253	0.9504352935
297	0.1881804847	0.9507824601
298	0.1877431087	0.9511029215
299	0.1869163298	0.9513966779
300	0.186265986	0.9515569086
301	0.186011274	0.9515569086
302	0.1853888583	0.9517438445
303	0.185247139	0.9518239598
304	0.1844834298	0.952304652
305	0.1841676248	0.9524915879
306	0.1828545717	0.9532660364
307	0.1822430121	0.9534796774
308	0.1815393495	0.9535063825
309	0.1810830696	0.9538535491
310	0.1808925645	0.9539870747
311	0.1802265971	0.9545745874
312	0.1799774677	0.9546012925
313	0.1794497792	0.9548416386
314	0.178963843	0.9554024462
315	0.1778886548	0.9557496128
316	0.1775856991	0.9558297281
317	0.1772199477	0.9561768947
318	0.1767233494	0.9565507664
319	0.1763745164	0.9569780484
320	0.1761004469	0.9567109972
321	0.1753372709	0.9570581638
322	0.1750719519	0.9570581638
323	0.1746762162	0.9574320355
324	0.173781661	0.9577792021
325	0.1731992197	0.9579394328
326	0.1728389009	0.9580195481
327	0.172677632	0.9582598942
328	0.1723230038	0.9581530738
329	0.1717522847	0.9588474069
330	0.1713877554	0.9589809325
331	0.1705124904	0.9597019708
332	0.1700685041	0.9597553811
333	0.1694263087	0.9604497143
334	0.1690278825	0.9605832399
335	0.1685727177	0.9609838167
336	0.1683894098	0.9610105218
337	0.1677757794	0.9613576884
338	0.1674612736	0.961704855
339	0.1671884735	0.9615713294
340	0.1664199987	0.9621321369
341	0.1662953684	0.9623190728
342	0.1660382694	0.9621588421
343	0.1652999592	0.9627196496
344	0.1649481119	0.9630935213
345	0.1647158622	0.962586124
346	0.1645041007	0.962799765
347	0.1640751282	0.9632804572
348	0.1636952872	0.9634139828
349	0.1629453402	0.9640549057
350	0.1626659004	0.9640816109
351	0.1621325741	0.9643753672
352	0.1617923997	0.9646157133
353	0.1613241992	0.9648560594
354	0.1611073461	0.9650162901
355	0.1608562822	0.9651765209
356	0.1603700948	0.9653634567
357	0.1598576737	0.965416867
358	0.1590935911	0.9660043796
359	0.1581878273	0.9663515462
360	0.1580820048	0.9663248411
361	0.1578539521	0.9660577899
362	0.1575003915	0.9662447257
363	0.1571229368	0.9665918923
364	0.1561332029	0.9676333921
365	0.1559284868	0.9678470331
366	0.1558319812	0.9677669177
367	0.1554502468	0.9677669177
368	0.15519572	0.9678470331
369	0.154984374	0.9677936228
370	0.1546520794	0.9679538535
371	0.1539304363	0.9682476099
372	0.1535528605	0.9685146611
373	0.1531739382	0.9687550072
374	0.1527710575	0.9686748918
375	0.1526354597	0.9685947765
376	0.1524838126	0.9685680714
377	0.1519642887	0.9686748918
378	0.1515806082	0.9688084175
379	0.1513804451	0.9690220584
380	0.1507116385	0.9693425199
381	0.1498252951	0.9697163916
382	0.1494099336	0.9700101479
383	0.1493038699	0.9700101479
384	0.1486715587	0.9701970838
385	0.1484033424	0.9701703787
386	0.1478632803	0.9703039043
387	0.1475447833	0.9701436736
388	0.1470982496	0.9703306094
389	0.1467258231	0.9704107248
390	0.1463044559	0.9708647119
391	0.1460620172	0.9709982375
392	0.1454027847	0.971345404
393	0.1449774566	0.9714255194
394	0.1448349207	0.9712919938
395	0.14455369	0.9714789297
396	0.1442508759	0.9714522245
397	0.1439819475	0.9715857501
398	0.1438413178	0.9716391604
399	0.1431256449	0.9721732628
